Fuel Type,Allowance,Charge Type,October 2022 - December 2022,January 2023 - March 2023,April 2023 - June 2023,July 2023 - September 2023,October 2023 - December 2023,January 2024 - March 2024,April 2024 - June 2024,July 2024 - September 2024,October 2024 - December 2024,January 2025 - March 2025,April 2025 - June 2025,July 2025 - September 2025,October 2025 - December 2025,January 2026 - March 2026,April 2026 - June 2026,Allowance Value,Payment Method,Tab Category,Cap Period,Start Date,End Date,Subtotal (UR/SC),Total Bill,% of Subtotal,% of Total Bill
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,835.1126774018225,1063.4098838784298,11.8%,9.27%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,835.1126774018225,825.4751400124426,11.8%,11.94%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,835.1126774018225,1795.8091404926765,11.8%,5.49%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,697.9210781533338,884.8192795043922,14.12%,11.14%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,697.9210781533338,1063.4098838784298,14.12%,9.27%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,697.9210781533338,825.4751400124426,14.12%,11.94%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,697.9210781533338,1795.8091404926765,14.12%,5.49%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,1421.9109924795189,884.8192795043922,6.93%,11.14%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,1421.9109924795189,1063.4098838784298,6.93%,9.27%
Electricity Single-Rate,Direct Fuel,Unit Rate,312.4290248309983,367.324220692926,261.3869836054272,158.175848686746,133.1282802381006,130.89568951432335,95.64051390421595,81.29105165373845,93.1522551826044,91.5800148227627,99.94622899967631,90.90846359239728,89.46692006632169,87.21332777112976,82.260072128172,98.53,Standard Credit,Wholesale Costs,,,,1421.9109924795189,825.4751400124426,6.93%,11.94%
